payload_type,error,field
DataSamplePayload,DR9140-Length,Comments
DataSamplePayload,DR9060-Length,Mon_Point
DataSamplePayload,DR9060-Incorrect,Mon_Point
DataSamplePayload,DR9040-Incorrect,Value
DataSamplePayload,DR9020-Incorrect,Mon_Date
DataSamplePayload,DR9000-Missing,EA_ID
DataSamplePayload,DR9050-Missing,Unit
DataSamplePayload,DR9060-Missing,Mon_Point
DataSamplePayload,DR9030-Missing,Parameter
DataSamplePayload,DR9010-Missing,Rtn_Type
DataSamplePayload,DR9110-Missing,Site_Name
DataSamplePayload,DR9140-Missing,Comments
DataSamplePayload,DR9999-Missing,Value
DataSamplePayload,DR9999-Missing,Txt_Value
DataSamplePayload,DR9020-Missing,Mon_Date
DataSamplePayload,DR9100-Incorrect,Meth_Stand
DataSamplePayload,DR9000-Incorrect,EA_ID
DataSamplePayload,DR9030-Incorrect,Parameter
DataSamplePayload,DR9180-Incorrect,Qualifier
DataSamplePayload,DR9090-Incorrect,Ref_Period
DataSamplePayload,DR9070-Incorrect,Rtn_Period
DataSamplePayload,DR9010-Incorrect,Rtn_Type
DataSamplePayload,DR9080-Incorrect,Txt_Value
DataSamplePayload,DR9050-Incorrect,Unit
DataSamplePayload,DR9050-Conflict,Unit
DataSamplePayload,DR9050-Conflict,Txt_Value
DataSamplePayload,DR9999-Conflict,Value
DataSamplePayload,DR9999-Conflict,Txt_Value
DataSamplePayload,DR9110-Conflict,EA_ID
DataSamplePayload,DR9110-Conflict,Site_Name
